pays,hotel,etoile_hotel,eco_friendly,avis_client
tunisie,Anantara Sahara Tozeur Resort & Villas,5,False,4.5
argentine,NH Bariloche Edelweiss,4,True,4.0
argentine,NH Buenos Aires 9 de Julio,4,True,4.5
argentine,NH Buenos Aires City,5,False,4.0
argentine,NH Buenos Aires Florida,4,False,4.0
argentine,NH Buenos Aires Latino,4,False,4.5
argentine,NH Buenos Aires Tango,4,True,4.0
argentine,NH Collection Buenos Aires Centro Histórico,5,False,4.5
argentine,NH Collection Buenos Aires Crillon,4,False,4.0
argentine,NH Collection Buenos Aires Jousten,4,True,4.5
argentine,NH Collection Buenos Aires Lancaster,4,True,4.5
argentine,NH Córdoba Panorama,4,True,4.0
argentine,NH Córdoba Urbano,3,False,4.0
argentine,NH Gran Hotel Provincial,5,False,4.0
argentine,NH Hotel Casino,4,False,3.5
argentine,NH Mendoza Cordillera,4,False,4.0
bresil,NH Curitiba The Five,4,False,0
chili,NH Antofagasta,0,False,4.0
chili,NH Iquique,4,False,4.0
chili,NH Ciudad de Santiago,4,False,4.0
chili,NH Collection Plaza Santiago,5,False,4.5
chili,NH Collection Santiago Casacostanera,4,False,4.5
colombie,NH Collection Barranquilla Smartsuites Royal,0,False,4.5
colombie,NH Bogotá Boheme Royal,0,True,4.5
colombie,NH Bogotá Pavillon Royal,0,False,4.5
colombie,NH Bogotá Urban 26 Royal,0,False,4.5
colombie,NH Bogotá Urban 93 Royal,0,False,4.0
colombie,NH Collection Bogotá Andino Royal,0,True,4.5
colombie,NH Collection Bogotá Hacienda Royal,0,True,4.5
colombie,NH Collection Bogotá Teleport Royal,0,True,4.5
colombie,NH Collection Bogotá Terra 100 Royal,0,True,4.5
colombie,NH Collection Bogotá WTC Royal,0,True,4.5
colombie,NH Cali Royal,0,False,4.0
colombie,NH Cartagena Urban Royal,0,False,0
colombie,NH Collection Medellín Royal,0,False,4.5
cuba,NH Capri La Habana,4,False,4.0
cuba,NH Collection Victoria La Habana,4,False,4.5
equateur,NH Collection Quito Royal,5,False,4.5
etats-unis,NH Collection New York Madison Avenue,4,False,0
haiti,NH Haiti El Rancho,4,False,4.5
mexique,NH Cancún Airport,4,False,0
mexique,NH Coatzacoalcos,3,False,4.0
mexique,NH Collection Guadalajara Providencia,5,True,4.5
mexique,NH Collection León Expo,4,False,4.5
mexique,NH Collection Mérida Paseo Montejo,4,False,4.0
mexique,NH Collection Mexico City Airport T2,4,False,4.0
mexique,NH Collection Mexico City Centro Histórico,4,True,4.0
mexique,NH Collection Mexico City Reforma,4,False,4.0
mexique,NH Collection Mexico City Santa Fe,4,False,4.5
mexique,NH Mexico City Valle Dorado,4,False,4.0
mexique,NH Collection Monterrey San Pedro,4,False,4.0
mexique,NH Monterrey La Fe,4,False,0
mexique,NH Puebla Centro Histórico,4,False,4.0
mexique,NH Puebla Finsa,4,False,4.5
mexique,NH Queretaro,4,False,3.5
mexique,NH San Luis Potosí,4,False,4.0
uruguay,NH Montevideo Columbia,4,False,4.0
allemagne,NH Berlin Alexanderplatz,4,True,4.0
allemagne,NH Berlin City Ost,4,False,4.0
allemagne,NH Berlin Kurfürstendamm,4,True,4.0
allemagne,NH Berlin Potsdamer Platz,4,True,4.0
allemagne,NH Collection Berlin Mitte Friedrichstrasse,4,True,4.5
allemagne,NH Collection Berlin Mitte am Checkpoint Charlie,4,True,4.0
allemagne,nhow Berlin,4,True,4.5
allemagne,NH Bingen,0,True,3.5
allemagne,NH Collection Köln Mediapark,4,True,4.5
allemagne,NH Köln Altstadt,4,True,4.0
allemagne,NH Dortmund,4,True,4.5
allemagne,NH Collection Dresden Altmarkt,4,True,4.5
allemagne,NH Dresden Neustadt,4,True,4.0
allemagne,NH Düsseldorf City,4,True,4.0
allemagne,NH Düsseldorf City Nord,4,True,4.0
allemagne,NH Düsseldorf Königsallee,4,True,4.0
allemagne,NH Erlangen,4,True,4.0
allemagne,NH Essen,4,False,4.5
allemagne,NH Collection Frankfurt City,4,True,4.5
allemagne,NH Frankfurt Airport,4,True,4.0
allemagne,NH Frankfurt Airport West,4,True,3.5
allemagne,NH Frankfurt Messe,4,True,4.5
allemagne,NH Frankfurt Mörfelden Conference Center,4,True,3.5
allemagne,NH Frankfurt Niederrad,4,True,4.0
allemagne,NH Frankfurt Villa,3,False,4.5
allemagne,NH Fürth Nürnberg,4,True,4.5
allemagne,NH Collection Hamburg City,4,True,4.5
allemagne,NH Hamburg Altona,4,True,4.0
allemagne,NH Hamburg Horner Rennbahn,4,True,4.0
allemagne,NH Hamburg Mitte,4,True,4.5
allemagne,NH Hannover,4,False,0
allemagne,NH Heidelberg,4,True,4.0
allemagne,NH Hirschberg Heidelberg,4,True,3.5
allemagne,NH Ingolstadt,4,True,4.0
allemagne,NH Leipzig Messe,4,True,4.0
allemagne,NH Leipzig Zentrum,4,False,4.0
allemagne,NH Ludwigsburg,3,True,4.0
allemagne,NH Magdeburg,4,True,4.0
allemagne,NH Mannheim,4,False,4.0
allemagne,NH Mannheim Viernheim,4,True,4.0
allemagne,NH Collection München Bavaria,4,True,4.0
allemagne,NH München Airport,4,True,3.5
allemagne,NH München City Süd,3,True,3.5
allemagne,NH München Messe,4,True,4.0
allemagne,NH München Ost Conference Center,4,True,4.0
allemagne,NH München Unterhaching,4,True,4.0
allemagne,NH Klösterle Nördlingen,4,True,4.0
allemagne,NH Collection Nürnberg City,4,True,4.0
allemagne,NH Oberhausen,4,False,4.0
allemagne,NH Potsdam,4,True,4.0
allemagne,NH Schwerin,4,True,4.0
allemagne,NH Stuttgart Airport,4,True,4.0
allemagne,NH Stuttgart Sindelfingen,4,True,3.5
allemagne,NH Weinheim,4,True,4.0
allemagne,NH Wiesbaden,0,True,3.0
andorre,NH Andorra La Vella,4,False,4.5
autriche,NH Graz City,4,False,4.5
autriche,NH Salzburg City,4,True,4.0
autriche,NH Collection Wien Zentrum,4,True,4.5
autriche,NH Danube City,4,True,4.0
autriche,NH Vienna Airport Conference Center,4,True,4.0
autriche,NH Wien Belvedere,4,True,4.0
autriche,NH Wien City,4,True,4.0
belgique,NH Collection Antwerp Centre,4,True,4.5
belgique,NH Brugge,4,True,4.0
belgique,NH Brussels Airport,4,True,4.0
belgique,NH Brussels Carrefour Europe,4,True,4.0
belgique,NH Brussels EU Berlaymont,4,True,0
belgique,NH Brussels Grand Place Arenberg,4,True,4.0
belgique,NH Brussels Louise,4,True,3.5
belgique,NH Brussels Stéphanie,4,True,4.0
belgique,NH Collection Brussels Centre,4,True,4.5
belgique,NH Collection Brussels Grand Sablon,4,True,4.5
belgique,nhow Brussels Bloom,4,True,4.0
belgique,NH Gent Belfort,4,True,4.0
belgique,NH Mechelen,3,True,4.0
espagne,NH Campo de Gibraltar,4,False,4.0
espagne,NH Alicante,4,False,4.0
espagne,NH Collection Palacio de Aranjuez,4,True,4.5
espagne,NH Collection Palacio de Avilés,5,False,4.5
espagne,NH Gran Hotel Casino Extremadura,5,False,4.5
espagne,NH Barcelona Diagonal Center,3,False,4.0
espagne,NH Barcelona Eixample,3,True,4.0
espagne,NH Barcelona Entenza,3,False,4.0
espagne,NH Barcelona Les Corts,3,False,4.0
espagne,NH Barcelona Stadium,4,True,4.0
espagne,NH Collection Barcelona Constanza,4,True,4.5
espagne,NH Collection Barcelona Gran Hotel Calderón,5,True,4.5
espagne,NH Collection Barcelona Pódium,4,True,4.5
espagne,NH Porta Barcelona,3,True,4.0
espagne,NH Sant Boi,3,False,4.0
espagne,NH Sants Barcelona,4,True,4.0
espagne,NH Bilbao Deusto,3,True,4.0
espagne,NH Collection Villa de Bilbao,4,True,4.5
espagne,NH La Avanzada,4,False,3.5
espagne,NH Collection Palacio de Burgos,4,False,4.5
espagne,NH Collection Cáceres Palacio de Oquendo,4,True,4.5
espagne,NH Campo Cartagena,3,False,4.0
espagne,NH Cartagena,4,False,4.0
espagne,NH Castellón Mindoro,4,False,4.0
espagne,NH Castellón Turcosa,3,False,4.5
espagne,NH Ciudad Real,4,False,4.0
espagne,NH Collection Amistad Córdoba,4,True,4.5
espagne,NH Córdoba Califa,3,False,4.0
espagne,NH Ciudad de Cuenca,4,False,4.0
espagne,NH Gijón,4,True,4.0
espagne,NH Collection Granada Victoria,4,True,4.5
espagne,NH Luz Huelva,4,False,3.5
espagne,NH Avenida Jerez,4,False,4.0
espagne,NH Collection A Coruña Finisterre,5,False,4.5
espagne,NH Imperial Playa,4,False,4.0
espagne,NH Las Palmas Playa Las Canteras,3,False,4.0
espagne,NH Collection León Plaza Mayor,4,True,4.5
espagne,NH Lleida Pirineos,4,False,4.0
espagne,NH Logroño,3,False,4.0
espagne,NH Logroño Herencia Rioja,4,False,4.0
espagne,NH Alcorcón,4,False,4.0
espagne,NH Collection Madrid Abascal,4,True,4.5
